time,open,high,low,close,Volume
1729251000,77545,77730,77475,77500,946
1729258200,77500,77830,77474,77774,1324
1729265400,77789,77839,77690,77744,843
1729272600,77744,77777,77715,77750,235
1729481400,78111,78260,78076,78145,1490
1729488600,78151,78250,78000,78116,887
1729495800,78110,78329,78089,78322,463
1729503000,78305,78369,78150,78350,752
1729510200,78350,78460,78295,78384,747
1729517400,78384,78450,77868,77970,1582
1729524600,77977,78105,77910,78071,470
1729531800,78070,78086,78020,78030,161
1729567800,78319,78400,78199,78268,813
1729575000,78292,78360,78189,78281,671
1729582200,78280,78385,78248,78304,470
1729589400,78290,78400,78200,78281,722
1729596600,78280,78444,78203,78444,711
1729603800,78409,78560,78289,78523,1013
1729611000,78501,78653,78403,78594,670
1729618200,78591,78689,78581,78684,283
1729654200,78477,78760,78451,78701,782
1729661400,78701,78831,78658,78759,598
1729668600,78780,78919,78774,78792,691
1729675800,78786,78796,78711,78762,549
1729683000,78755,78790,78250,78475,1222
1729690200,78460,78491,77613,77720,2844
1729697400,77713,77985,77713,77820,687
1729704600,77826,77887,77760,77868,323
1729740600,78156,78156,77932,78112,608
1729747800,78125,78333,78101,78306,798
1729755000,78306,78385,78246,78360,553
1729762200,78352,78391,78261,78294,349
1729769400,78314,78472,78273,78472,624
1729776600,78488,78491,78002,78207,1614
1729783800,78203,78340,78070,78335,551
1729791000,78305,78345,78305,78340,158
1729827000,78048,78143,78034,78107,549
1729834200,78130,78244,78045,78170,512
1729841400,78188,78188,77852,77885,721
1729848600,77883,78050,77836,78044,434
1729855800,78057,78225,78023,78118,591
1729863000,78127,78474,78068,78466,950
1729870200,78466,78514,78275,78501,710
1729877400,78502,78580,78482,78577,351
1730086200,78322,78322,78131,78310,798
1730093400,78310,78530,78310,78352,800
1730100600,78352,78448,78130,78130,649
1730107800,78130,78236,78111,78218,535
1730115000,78220,78398,78175,78395,559
1730122200,78395,78575,78381,78529,1416
1730129400,78525,78585,78436,78540,702
1730136600,78550,78586,78531,78536,173
1730172600,78643,78880,78643,78783,734
1730179800,78790,78878,78703,78810,604
1730187000,78830,78888,78655,78844,495
1730194200,78829,78841,78630,78667,454
1730201400,78671,78888,78671,78843,563
1730208600,78835,79277,78780,79015,1654
1730215800,79017,79281,79017,79200,489
1730223000,79197,79269,79190,79268,212
1730259000,79535,79565,79411,79534,602
1730266200,79531,79775,79531,79658,852
1730273400,79675,79675,79525,79565,451
1730280600,79570,79698,79525,79579,472
1730287800,79579,79720,79378,79496,941
1730295000,79491,79550,79298,79525,792
1730302200,79522,79750,79522,79740,476
1730309400,79740,79760,79710,79737,414
1730345400,79616,79681,79556,79620,320
1730352600,79585,79652,79449,79515,370
1730359800,79535,79590,79415,79439,310
1730367000,79449,79533,79325,79400,437
1730374200,79399,79488,79126,79175,821
1730381400,79168,79168,78243,78440,3173
1730388600,78430,78549,78348,78425,615
1730395800,78433,78470,78402,78443,244
1730464200,78866,78950,78673,78775,1161
1730691000,78541,78541,78402,78450,608
1730698200,78430,78558,78330,78450,384
1730705400,78454,78470,78238,78470,707
1730712600,78471,78577,78376,78405,661
1730719800,78428,78575,78427,78483,264
1730727000,78489,78669,78415,78518,484
1730734200,78502,78520,78285,78420,347
1730741400,78412,78446,78367,78400,126
1730777400,78211,78383,78191,78335,600
1730784600,78370,78480,78240,78460,693
1730791800,78460,78580,78260,78510,811
1730799000,78498,78513,78333,78462,507
1730806200,78460,78510,78360,78482,595
1730813400,78488,78687,78310,78320,1008
1730820600,78320,78562,78300,78517,380
1730827800,78522,78550,78468,78475,159
1730863800,78331,78593,78206,78520,883
1730871000,78511,78530,77500,78163,2998
1730878200,78188,78382,78025,78104,1053
1730885400,78092,78235,77860,77860,1142
1730892600,77852,77904,76952,77003,4547
1730899800,76988,77002,76367,76725,4584
1730907000,76725,76972,76610,76717,1083
1730914200,76705,76749,76580,76712,444
1730950200,76365,76487,76322,76409,970
1730957400,76409,76667,76300,76615,881
1730964600,76588,76659,76421,76599,587
1730971800,76600,76695,76510,76625,390
1730979000,76618,77023,76574,76975,1140
1730986200,76964,77457,76903,77430,1928
1730993400,77425,77456,77226,77430,745
1731000600,77440,77459,77370,77430,328
1731036600,77380,77434,77336,77410,614
1731043800,77414,77422,77025,77090,1006
1731051000,77070,77299,77060,77216,620
